Time,0.3,0.5,1.0,2.5,5.0,10,Temperature,Pressure,Humidity
1771627567.3920736,216,53,6,0,0,0,28.220625,612.4468983442713,100
1771627568.4033298,240,59,9,0,0,0,17.9645703125,1005.9200541308584,36.17676860520787
1771627569.4141176,240,59,9,0,0,0,18.0130078125,1005.9222712337892,36.104134076474715
1771627570.4267595,240,59,9,0,0,0,18.0637890625,1005.9216666552867,35.98758377583525
1771627571.4397016,240,57,9,0,0,0,18.1091015625,1005.921975928219,35.87057576610494
